Species,Owner,Country,Company,Altitude,Region,Producer,Partner,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd,1400-1900,eastern,Kawacom (U)Ltd,Uganda Coffee Development Authority,8.17,8.17,7.92,8.08,7.83,7.75,m,1400,1900,1650
Arabica,kabum trading company,Uganda,kabum trading company,1950,kapchorwa eastern,Kabum trading company,Uganda Coffee Development Authority,8.42,8.17,8.17,8.17,7.83,7.92,m,1950,1950,1950
Arabica,romulo bello flores,Mexico,cafe shunuc,1200,atoyac de alvarez,ROMULO BELLO FLORES,AMECAFE,8.08,8.17,8,8,7.83,7.92,m,1200,1200,1200
Arabica,grounds for health admin,United States of America,,2000 ft,kona,"Robert, Sharon, Arianna Wood",Specialty Coffee Association,8.33,8.42,8.08,8.25,8.25,8,ft,609.6,609.6,609.6
Arabica,cqi q coffee sample representative,United States of America,coffee quality institute,meters above sea level: 2.080,antioquia,MarÃ­a Leticia Diosa,AlmacafÃ©,8,8.5,8.58,8.17,8.17,8,m,2080,2080,2080
Arabica,yunnan coffee exchange,China,yunnan coffee exchange,1450,yunnan,Echo Coffee,Yunnan Coffee Exchange,8.42,8.25,8.08,8.17,7.92,8,m,1450,1450,1450
Arabica,ji-ae ahn,Ethiopia,,,sidamo,,Specialty Coffee Institute of Asia,8.42,8.17,7.92,8.17,8.33,8,m,NA,NA,NA
Arabica,kona pacific farmers cooperative,United States of America,,,kona,Kona Pacific Farmers Cooperative,Specialty Coffee Association,8.08,8.17,7.92,8,8.08,8,ft,NA,NA,NA
Arabica,cqi q coffee sample representative,United States of America,coffee quality institute,meters above sea level: 1.943,antioquia,Jorge Walter Restrepo,AlmacafÃ©,8.08,8.67,8.33,8.42,8,8.08,m,1943,1943,1943
Arabica,cqi q coffee sample representative,United States of America,coffee quality institute,meters above sea level: 1.872,antioquia,Alfredo De JesÃºs LÃ³pez PÃ©rez,AlmacafÃ©,8.25,8.42,8.17,8.33,8.08,8.17,m,1872,1872,1872
Arabica,roberto licona franco,Mexico,,1320,xalapa,ROBERTO LICONA FRANCO,AMECAFE,8.17,8.25,8.17,8,7.83,8.17,m,1320,1320,1320
Arabica,cqi q coffee sample representative,United States of America,coffee quality institute,meters above sea level: 2.112,antioquia,Silvia Elena Higuita,AlmacafÃ©,8.25,8.33,8.17,8.17,7.83,8.17,m,2112,2112,2112
Arabica,"colbran coffeelands, ltd.",Papua New Guinea,cqi,1700 mts,eastern highlands province,"Colbran CoffeeLands, Ltd.",Specialty Coffee Association,8.33,8.42,7.83,8.33,8,8.25,m,1700,1700,1700
Arabica,essencecoffee,Ethiopia,essence coffee,1700-2000m,gedio,LevelUp,Blossom Valley International,8.17,8.17,8,8.17,8.08,8.33,m,1700,2000,1850
Arabica,the coffee source inc.,Costa Rica,the coffee source inc.,1300 msnm,san ramon,SEVERAL,Specialty Coffee Association,8.08,8.25,8,8.17,8,8.33,m,1300,1300,1300
Arabica,grounds for health admin,Guatemala,,1600 - 1800 m,nan,,Specialty Coffee Association,8.42,8.5,8.42,8.42,8.33,8.42,m,1600,1800,1700
Arabica,ethiopia commodity exchange,Ethiopia,,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,Ethiopia Commodity Exchange,8.25,8.33,8.5,8.42,8.33,8.5,m,1570,1700,1635
